"ID","Раздел","Направления и эффект","Уровень","Название асаны в оригинале","Транслитерация на русском","Популярное название на русском","Объяснение выполнения","Минуты","Противопоказания и ограничения","Текст для озвучивания","Как встроить перед асаной","Как выйти или компенсировать","Картинка визуализация","Заметки"
"AS047","Таз и раскрытие","внутренняя поверхность бедра","средний","Upavistha Konasana","Упавишта Конасана","широкий угол сидя","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в широкий угол сидя. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS047.svg","v1 каталог, строка расширяема"
"AS048","Наклоны вперед","задняя линия","начальный","Janu Sirsasana","Джану Ширшасана","голова к колену","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в голова к колену. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS048.svg","v1 каталог, строка расширяема"
"AS049","Наклоны вперед","нервная система","начальный","Paschimottanasana","Пашчимоттанасана","наклон к ногам сидя","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в наклон к ногам сидя. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS049.svg","v1 каталог, строка расширяема"
"AS050","Наклоны вперед","бедро","средний","Triang Mukha Eka Pada Paschimottanasana","Трианг Мукха Эка Пада Пашчимоттанасана","наклон с одной ногой в вирасане","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в наклон с одной ногой в вирасане. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS050.svg","v1 каталог, строка расширяема"
"AS051","Таз и плечи","ягодицы и плечи","средний","Gomukhasana","Гомукхасана","поза коровьей головы","Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным.","3","боль в коленях, тазобедренных, мениски","Войдите в поза коровьей головы. Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS051.svg","v1 каталог, строка расширяема"
"AS052","Таз и раскрытие","наружная ротация бедра","средний","Agnistambhasana","Агнистамбхасана","двойной голубь","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в двойной голубь. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS052.svg","v1 каталог, строка расширяема"
"AS053","Наклоны и вытяжение ног","задняя линия","средний","Krounchasana","Краунчасана","цапля","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в цапля. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS053.svg","v1 каталог, строка расширяема"
"AS054","Шпагаты и глубокое вытяжение","псоас и задняя линия","продвинутый","Hanumanasana","Хануманасана","продольный шпагат","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","2","грыжи в обострении, ишиас, высокое давление при глубоком наклоне; боль в коленях, тазобедренных, мениски","Войдите в продольный шпагат. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS054.svg","v1 каталог, строка расширяема"
"AS055","Сидячие базовые","медитация","продвинутый","Padmasana","Падмасана","лотос","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","2","боль в коленях, тазобедренных, мениски","Войдите в лотос. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS055.svg","v1 каталог, строка расширяема"
"AS056","Наклоны вперед","таз и задняя линия","продвинутый","Ardha Baddha Padma Paschimottanasana","Ардха Баддха Падма Пашчимоттанасана","полулотос в наклоне","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","2","грыжи в обострении, ишиас, высокое давление при глубоком наклоне; боль в коленях, тазобедренных, мениски","Войдите в полулотос в наклоне. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS056.svg","v1 каталог, строка расширяема"
"AS057","Скрутки","грудной отдел","начальный","Bharadvajasana I","Бхарадваджасана I","скрутка Бхарадваджи","На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный.","3","беременность, острые боли поясницы, менструация при дискомфорте","Войдите в скрутка Бхарадваджи. На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный. Дышите ровно. Выход: вернуться в центр и повторить симметрично.","после нейтрального выравнивания и спокойного дыхания","вернуться в центр и повторить симметрично","visuals/AS057.svg","v1 каталог, строка расширяема"
"AS058","Скрутки","позвоночник","средний","Ardha Matsyendrasana","Ардха Матсиендрасана","половинная поза Матсиендры","На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный.","3","беременность, острые боли поясницы, менструация при дискомфорте","Войдите в половинная поза Матсиендры. На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный. Дышите ровно. Выход: вернуться в центр и повторить симметрично.","после нейтрального выравнивания и спокойного дыхания","вернуться в центр и повторить симметрично","visuals/AS058.svg","v1 каталог, строка расширяема"
"AS059","Скрутки и наклоны","задняя линия","средний","Marichyasana I","Маричиасана I","наклон Маричи I","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","беременность, острые боли поясницы, менструация при дискомфорте; грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в наклон Маричи I. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в центр и повторить симметрично.","после мягкой мобилизации таза и задней линии","вернуться в центр и повторить симметрично","visuals/AS059.svg","v1 каталог, строка расширяема"
"AS060","Скрутки","грудной отдел","средний","Marichyasana III","Маричиасана III","скрутка Маричи III","На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный.","3","беременность, острые боли поясницы, менструация при дискомфорте","Войдите в скрутка Маричи III. На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный. Дышите ровно. Выход: вернуться в центр и повторить симметрично.","после нейтрального выравнивания и спокойного дыхания","вернуться в центр и повторить симметрично","visuals/AS060.svg","v1 каталог, строка расширяема"
"AS061","Боковые вытяжения","боковая линия","средний","Parivrtta Janu Sirsasana","Паривритта Джану Ширшасана","скрученный наклон к ноге","Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в скрученный наклон к ноге. Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS061.svg","v1 каталог, строка расширяема"
"AS062","Скрутки лежа","поясница","начальный","Jathara Parivartanasana","Джатхара Паривартанасана","скрутка живота лежа","На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный.","3","беременность, острые боли поясницы, менструация при дискомфорте","Войдите в скрутка живота лежа. На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный. Дышите ровно. Выход: вернуться в центр и повторить симметрично.","после нейтрального выравнивания и спокойного дыхания","вернуться в центр и повторить симметрично","visuals/AS062.svg","v1 каталог, строка расширяема"
"AS063","Скрутки лежа","грудной отдел","начальный","Supta Matsyendrasana","Супта Матсиендрасана","скрутка лежа","На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный.","3","беременность, острые боли поясницы, менструация при дискомфорте","Войдите в скрутка лежа. На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный. Дышите ровно. Выход: вернуться в центр и повторить симметрично.","после нейтрального выравнивания и спокойного дыхания","вернуться в центр и повторить симметрично","visuals/AS063.svg","v1 каталог, строка расширяема"
"AS064","Прогибы","грудь","начальный","Salamba Bhujangasana","Саламба Бхуджангасана","сфинкс","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","3","боль в пояснице, шее, высокое давление","Войдите в сфинкс. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS064.svg","v1 каталог, строка расширяема"
"AS065","Прогибы","спина","начальный","Bhujangasana","Бхуджангасана","кобра","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","3","боль в пояснице, шее, высокое давление","Войдите в кобра. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS065.svg","v1 каталог, строка расширяема"
"AS066","Прогибы","задняя цепь","начальный","Shalabhasana","Шалабхасана","саранча","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","3","боль в пояснице, шее, высокое давление","Войдите в саранча. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS066.svg","v1 каталог, строка расширяема"
"AS067","Прогибы","передняя линия","средний","Dhanurasana","Дханурасана","лук","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","3","боль в пояснице, шее, высокое давление","Войдите в лук. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS067.svg","v1 каталог, строка расширяема"
"AS068","Прогибы","псоас и грудь","средний","Ustrasana","Уштрасана","верблюд","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","3","боль в пояснице, шее, высокое давление","Войдите в верблюд. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS068.svg","v1 каталог, строка расширяема"
"AS069","Прогибы и восстановление","грудь и ягодицы","начальный","Setu Bandha Sarvangasana","Сету Бандха Сарвангасана","мост","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","5","боль в пояснице, шее, высокое давление","Войдите в мост. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS069.svg","v1 каталог, строка расширяема"
"AS070","Прогибы","руки и ноги","продвинутый","Urdhva Dhanurasana","Урдхва Дханурасана","колесо","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","2","боль в пояснице, шее, высокое давление","Войдите в колесо. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS070.svg","v1 каталог, строка расширяема"
"AS071","Прогибы и сила","плечи","средний","Purvottanasana","Пурвоттанасана","обратная планка","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","3","боль в запястьях, плечах, беременность; боль в пояснице, шее, высокое давление","Войдите в обратная планка. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS071.svg","v1 каталог, строка расширяема"
"AS072","Прогибы и раскрытие грудной клетки","грудь и горло","средний","Matsyasana","Матсиасана","рыба","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","3","боль в пояснице, шее, высокое давление","Войдите в рыба. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS072.svg","v1 каталог, строка расширяема"
"AS073","Таз и прогибы","бедро и ягодицы","средний","Eka Pada Rajakapotasana Prep","Эка Пада Раджакапотасана Prep","подготовка к позе голубя","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","3","боль в пояснице, шее, высокое давление; боль в коленях, тазобедренных, мениски","Войдите в подготовка к позе голубя. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS073.svg","v1 каталог, строка расширяема"
"AS074","Глубокие прогибы","передняя линия","продвинутый","Kapotasana","Капотасана","глубокий голубь","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","2","боль в пояснице, шее, высокое давление","Войдите в глубокий голубь. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS074.svg","v1 каталог, строка расширяема"
"AS075","Восстановление и вытяжение бедер","квадрицепсы","средний","Supta Virasana","Супта Вирасана","герой лежа","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","5","грыжи в обострении, ишиас, высокое давление при глубоком наклоне; боль в коленях, тазобедренных, мениски","Войдите в герой лежа. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS075.svg","v1 каталог, строка расширяема"
"AS076","Сила и центр","кор","средний","Paripurna Navasana","Парипурна Навасана","лодка","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","3","боль в запястьях, плечах, беременность","Войдите в лодка. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS076.svg","v1 каталог, строка расширяема"
"AS077","Сила и центр","глубокий кор","средний","Ardha Navasana","Ардха Навасана","полулодка","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","3","боль в запястьях, плечах, беременность","Войдите в полулодка. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS077.svg","v1 каталог, строка расширяема"
"AS078","Сила и центр","стабильность","начальный","Kumbhakasana","Кумбхакасана","планка с удержанием","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","3","боль в запястьях, плечах, беременность","Войдите в планка с удержанием. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS078.svg","v1 каталог, строка расширяема"
"AS079","Сила и баланс","косые мышцы","средний","Vasisthasana","Васиштхасана","боковая планка","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","3","боль в запястьях, плечах, беременность","Войдите в боковая планка. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS079.svg","v1 каталог, строка расширяема"
"AS080","Сила и плечи","плечи","средний","Makara Adho Mukha Svanasana","Макара Адхо Мукха Шванасана","дельфин-планка","Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным.","3","боль в запястьях, плечах, беременность","Войдите в дельфин-планка. Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS080.svg","v1 каталог, строка расширяема"
"AS081","Сила и центр","руки и пресс","средний","Lolasana","Лоласана","качели","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","3","боль в запястьях, плечах, беременность","Войдите в качели. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS081.svg","v1 каталог, строка расширяема"
"AS082","Сидячие балансы","баланс","средний","Ubhaya Padangusthasana","Убхая Падангуштхасана","захват обеих стоп сидя","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в захват обеих стоп сидя. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS082.svg","v1 каталог, строка расширяема"
"AS083","Балансы на руках","руки и фокус","средний","Bakasana","Бакасана","журавль","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","3","боль в запястьях, плечах, беременность","Войдите в журавль. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после разогрева плеч, запястий и центра","вернуться в нейтраль и наблюдать дыхание","visuals/AS083.svg","v1 каталог, строка расширяема"
"AS084","Балансы на руках","руки и баланс","средний","Kakasana","Какасана","ворон","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","3","боль в запястьях, плечах, беременность","Войдите в ворон. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после разогрева плеч, запястий и центра","вернуться в нейтраль и наблюдать дыхание","visuals/AS084.svg","v1 каталог, строка расширяема"
"AS085","Балансы на руках","косые мышцы","продвинутый","Parsva Bakasana","Паршва Бакасана","боковой журавль","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","2","боль в запястьях, плечах, беременность","Войдите в боковой журавль. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после разогрева плеч, запястий и центра","вернуться в нейтраль и наблюдать дыхание","visuals/AS085.svg","v1 каталог, строка расширяема"
"AS086","Балансы на руках","руки и центр","продвинутый","Mayurasana","Маюрасана","павлин","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","2","боль в запястьях, плечах, беременность","Войдите в павлин. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после разогрева плеч, запястий и центра","вернуться в нейтраль и наблюдать дыхание","visuals/AS086.svg","v1 каталог, строка расширяема"
"AS087","Балансы на руках","кор и таз","продвинутый","Astavakrasana","Аштавакрасана","восемь углов","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","2","боль в запястьях, плечах, беременность","Войдите в восемь углов. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после разогрева плеч, запястий и центра","вернуться в нейтраль и наблюдать дыхание","visuals/AS087.svg","v1 каталог, строка расширяема"
"AS088","Балансы на руках","сила и скрутка","продвинутый","Eka Pada Koundinyasana I","Эка Пада Каундиньясана I","баланс Каундиньи I","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","2","боль в запястьях, плечах, беременность","Войдите в баланс Каундиньи I. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после разогрева плеч, запястий и центра","вернуться в нейтраль и наблюдать дыхание","visuals/AS088.svg","v1 каталог, строка расширяема"
"AS089","Балансы на руках","руки и задняя линия","продвинутый","Tittibhasana","Титтибхасана","светлячок","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","2","боль в запястьях, плечах, беременность","Войдите в светлячок. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после разогрева плеч, запястий и центра","вернуться в нейтраль и наблюдать дыхание","visuals/AS089.svg","v1 каталог, строка расширяема"
"AS090","Инверсии","плечи","продвинутый","Pincha Mayurasana","Пинча Маюрасана","стойка на предплечьях","Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте.","2","высокое давление, глаукома, травма шеи, менструация по самочувствию","Войдите в стойка на предплечьях. Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте. Дышите ровно. Выход: выйти с паузой в Balasana, Makarasana или Savasana.","после разогрева плеч, запястий и центра","выйти с паузой в Balasana, Makarasana или Savasana","visuals/AS090.svg","v1 каталог, строка расширяема"
"AS091","Инверсии","руки и баланс","продвинутый","Adho Mukha Vrksasana","Адхо Мукха Врикшасана","стойка на руках","Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте.","2","высокое давление, глаукома, травма шеи, менструация по самочувствию","Войдите в стойка на руках. Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте. Дышите ровно. Выход: выйти с паузой в Balasana, Makarasana или Savasana.","после разогрева плеч, запястий и центра","выйти с паузой в Balasana, Makarasana или Savasana","visuals/AS091.svg","v1 каталог, строка расширяема"
"AS092","Инверсии","фокус","продвинутый","Sirsasana","Ширшасана","стойка на голове","Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте.","2","высокое давление, глаукома, травма шеи, менструация по самочувствию","Войдите в стойка на голове. Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте. Дышите ровно. Выход: выйти с паузой в Balasana, Makarasana или Savasana.","после разогрева плеч, запястий и центра","выйти с паузой в Balasana, Makarasana или Savasana","visuals/AS092.svg","v1 каталог, строка расширяема"
"AS093","Инверсии","успокоение","средний","Salamba Sarvangasana","Саламба Сарвангасана","стойка на плечах","Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте.","3","высокое давление, глаукома, травма шеи, менструация по самочувствию","Войдите в стойка на плечах. Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте. Дышите ровно. Выход: выйти с паузой в Balasana, Makarasana или Savasana.","после разогрева плеч, запястий и центра","выйти с паузой в Balasana, Makarasana или Savasana","visuals/AS093.svg","v1 каталог, строка расширяема"
