ID,Оригинальное название,Транслитерация на русском,Популярное название,По слогам для чтения,Разбор по частям,Буквальный смысл,От чего произошло,Подсказка для запоминания,Раздел
AS074,Kapotasana,Капотасана,глубокий голубь,Ка-по-та | А-са-на,"kapota = голубь; asana = сиденье, поза","голубь + сиденье, поза","образ раскрытой грудной клетки голубя; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: глубокий голубь -> голубь + часть названия требует ручной сверки,Глубокие прогибы
AS075,Supta Virasana,Супта Вирасана,герой лежа,Суп-та | Ви-ра | А-са-на,"supta = лежащий; vira = герой, воин; asana = сиденье, поза","лежащий + герой, воин + сиденье, поза","указывает положение лежа; образ силы, мужества и устойчивости; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: герой лежа -> лежащий + герой, воин + часть названия требует ручной сверки",Восстановление и вытяжение бедер
AS076,Paripurna Navasana,Парипурна Навасана,лодка,Па-ри-пур-на | На-ва | А-са-на,"paripurna = полный, завершенный; nava = лодка; asana = сиденье, поза",полная + лодка + поза,полная форма позы лодки,Свяжите образ: лодка -> полная + лодка + поза,Сила и центр
AS077,Ardha Navasana,Ардха Навасана,полулодка,Ард-ха | На-ва-са-на,ardha = половина; navasana = поза лодки,половина + поза лодки,"указывает половинную или неполную форму; nava = лодка, asana = поза",Свяжите образ: полулодка -> половина + поза лодки,Сила и центр
AS078,Kumbhakasana,Кумбхакасана,планка с удержанием,Кум-бха-ка | А-са-на,"kumbhaka = задержка/сосуд, наполненность; asana = сиденье, поза","задержка/сосуд, наполненность + сиденье, поза","в асане передает собранность планки; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: планка с удержанием -> задержка/сосуд, наполненность + часть названия требует ручной сверки",Сила и центр
AS079,Vasisthasana,Васиштхасана,боковая планка,Ва-сиш-тха | А-са-на,"vasistha = мудрец Васиштха; asana = сиденье, поза","мудрец Васиштха + сиденье, поза","асана названа в честь мудреца Васиштхи; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: боковая планка -> мудрец Васиштха + часть названия требует ручной сверки,Сила и баланс
AS080,Makara Adho Mukha Svanasana,Макара Адхо Мукха Шванасана,дельфин-планка,Ма-ка-ра | Ад-хо | Мук-ха | Шва-на | А-са-на,"makara = мифическое водное существо; крокодил; adho = вниз, направленный вниз; mukha = лицо, морда, направление; svana = собака; asana = сиденье, поза","мифическое водное существо; крокодил + вниз, направленный вниз + лицо, морда, направление + собака + сиденье, поза","образ устойчивого расслабления на животе; указывает нисходящее направление; указывает лицо/морду или направление позы; образ собаки в вытяжении; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: дельфин-планка -> мифическое водное существо; крокодил + вниз, направленный вниз + лицо, морда, направление + собака + часть названия требует ручной сверки",Сила и плечи
AS081,Lolasana,Лоласана,качели,Ло-ла | А-са-на,"lola = качающийся, подвешенный; asana = сиденье, поза","качающийся, подвешенный + сиденье, поза","указывает раскачивание или подвешивание тела; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: качели -> качающийся, подвешенный + часть названия требует ручной сверки",Сила и центр
AS082,Ubhaya Padangusthasana,Убхая Падангуштхасана,захват обеих стоп сидя,Уб-ха-я | Па-дан-гуш-тха | А-са-на,"ubhaya = оба; padangushtha = большие пальцы стоп; asana = сиденье, поза",оба + большие пальцы стоп + поза,название указывает на захват обеих стоп,Свяжите образ: захват обеих стоп сидя -> оба + большие пальцы стоп + поза,Сидячие балансы
AS083,Bakasana,Бакасана,журавль,Ба-ка | А-са-на,"baka = журавль; asana = сиденье, поза","журавль + сиденье, поза","образ птицы в балансе на руках; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: журавль -> журавль + часть названия требует ручной сверки,Балансы на руках
AS084,Kakasana,Какасана,ворон,Ка-ка | А-са-на,"kaka = ворона; asana = сиденье, поза","ворона + сиденье, поза","образ птицы в балансе на руках; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: ворон -> ворона + часть названия требует ручной сверки,Балансы на руках
AS085,Parsva Bakasana,Паршва Бакасана,боковой журавль,Парш-ва | Ба-ка | А-са-на,"parsva = бок, сторона; baka = журавль; asana = сиденье, поза","бок, сторона + журавль + сиденье, поза","обозначает боковое положение или боковую линию; образ птицы в балансе на руках; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: боковой журавль -> бок, сторона + журавль + часть названия требует ручной сверки",Балансы на руках
AS086,Mayurasana,Маюрасана,павлин,Ма-ю-ра | А-са-на,"mayura = павлин; asana = сиденье, поза","павлин + сиденье, поза","образ павлина и сильной линии тела; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: павлин -> павлин + часть названия требует ручной сверки,Балансы на руках
AS087,Astavakrasana,Аштавакрасана,восемь углов,Аш-та | Ва-кра | А-са-на,"ashta = восемь; vakra = изогнутый; asana = сиденье, поза",восемь + изгиб + поза,название связано с образом восьми изгибов и мудрецом Аштавакрой,Свяжите образ: восемь углов -> восемь + изгиб + поза,Балансы на руках
AS088,Eka Pada Koundinyasana I,Эка Пада Каундиньясана I,баланс Каундиньи I,Э-ка | Па-да | Ка-ун-динья | А-са-на,"eka = один; pada = стопа, нога; koundinya = мудрец Каундинья; asana = сиденье, поза","один + стопа, нога + мудрец Каундинья + сиденье, поза","число один; опора или нога в названии; асана названа в честь мудреца Каундиньи; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: баланс Каундиньи I -> один + стопа, нога + мудрец Каундинья + часть названия требует ручной сверки",Балансы на руках
AS089,Tittibhasana,Титтибхасана,светлячок,Тит-ти-бха | А-са-на,"tittibha = светлячок или мелкая птица; asana = сиденье, поза","светлячок или мелкая птица + сиденье, поза","образ легкости и раскрытых ног; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: светлячок -> светлячок или мелкая птица + часть названия требует ручной сверки,Балансы на руках
AS090,Pincha Mayurasana,Пинча Маюрасана,стойка на предплечьях,Пин-ча | Ма-ю-ра | А-са-на,"pincha = перо, подбородок/оперение в традиционных толкованиях; mayura = павлин; asana = сиденье, поза","перо, подбородок/оперение в традиционных толкованиях + павлин + сиденье, поза","в названии Pincha Mayurasana связано с павлином и его перьями; образ павлина и сильной линии тела; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: стойка на предплечьях -> перо, подбородок/оперение в традиционных толкованиях + павлин + часть названия требует ручной сверки",Инверсии
AS091,Adho Mukha Vrksasana,Адхо Мукха Врикшасана,стойка на руках,Ад-хо | Мук-ха | Врик-ша | А-са-на,"adho = вниз, направленный вниз; mukha = лицо, морда, направление; vrksa = дерево; asana = сиденье, поза","вниз, направленный вниз + лицо, морда, направление + дерево + сиденье, поза","указывает нисходящее направление; указывает лицо/морду или направление позы; вариант записи vriksha; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: стойка на руках -> вниз, направленный вниз + лицо, морда, направление + дерево + часть названия требует ручной сверки",Инверсии
AS092,Sirsasana,Ширшасана,стойка на голове,Шир-ша-са-на,sirsasana = стойка на голове,стойка на голове,"sirsa = голова, asana = поза",Свяжите образ: стойка на голове -> стойка на голове,Инверсии
AS093,Salamba Sarvangasana,Саламба Сарвангасана,стойка на плечах,Са-лам-ба | Сар-ван-га-са-на,"salamba = с опорой, поддержанный; sarvangasana = поза всего тела","с опорой, поддержанный + поза всего тела","sa = с, alamba = опора; sarva = весь, anga = часть, asana = поза","Свяжите образ: стойка на плечах -> с опорой, поддержанный + поза всего тела",Инверсии
AS094,Halasana,Халасана,плуг,Ха-ла | А-са-на,"hala = плуг; asana = сиденье, поза","плуг + сиденье, поза","форма напоминает плуг; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: плуг -> плуг + часть названия требует ручной сверки,Инверсии и наклоны
AS095,Karnapidasana,Карнапидасана,колени у ушей,Кар-на | Пи-да | А-са-на,"karna = ухо; pida = давление, сжатие; asana = сиденье, поза","ухо + давление, сжатие + сиденье, поза","анатомическое слово для уха; указывает мягкое прижатие коленей к ушам; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: колени у ушей -> ухо + давление, сжатие + часть названия требует ручной сверки",Инверсии и закрытые формы
AS096,Viparita Karani,Випарита Карани,ноги вверх у стены,Ви-па-ри-та | Ка-ра-ни,"viparita = перевернутый, обратный; karani = действие, выполнение","перевернутый, обратный + действие, выполнение","указывает инвертированное положение; то, что делается; практика обратного действия","Свяжите образ: ноги вверх у стены -> перевернутый, обратный + действие, выполнение",Восстановление и инверсии
AS097,Supta Baddha Konasana,Супта Баддха Конасана,бабочка лежа,Суп-та | Бад-дха | Ко-на | А-са-на,"supta = лежащий; baddha = связанный, соединенный; kona = угол; asana = сиденье, поза","лежащий + связанный, соединенный + угол + сиденье, поза","указывает положение лежа; указывает связку, захват или соединение; геометрический угол формы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: бабочка лежа -> лежащий + связанный, соединенный + угол + часть названия требует ручной сверки",Восстановление и раскрытие
AS098,Supta Padangusthasana I,Супта Падангуштхасана I,ремень на стопе лежа вверх,Суп-та | Па-дан-гуш-тха | А-са-на | I,"supta = лежащий; padangushtha = большой палец стопы; asana = сиденье, поза",лежа + большой палец стопы + поза,название указывает на захват стопы в положении лежа,Свяжите образ: ремень на стопе лежа вверх -> лежа + большой палец стопы + поза,Вытяжение ног лежа
AS099,Supta Padangusthasana II,Супта Падангуштхасана II,нога в сторону лежа,Суп-та | Па-дан-гуш-тха | А-са-на | II,"supta = лежащий; padangushtha = большой палец стопы; asana = сиденье, поза",лежа + большой палец стопы + поза,вариант той же формы с отведением ноги в сторону,Свяжите образ: нога в сторону лежа -> лежа + большой палец стопы + поза,Вытяжение ног лежа
AS100,Apanasana,Апанасана,колени к груди,А-па-на-са-на,apanasana = поза апаны,поза апаны,apana = нисходящий поток энергии/выведение,Свяжите образ: колени к груди -> поза апаны,Восстановление и поясница
AS101,Ananda Balasana,Ананда Баласана,счастливый ребенок,А-нан-да | Ба-ла | А-са-на,"ananda = радость, блаженство; bala = ребенок; asana = сиденье, поза","радость, блаженство + ребенок + сиденье, поза","качество радостного расслабления; образ отдыха, защищенности, сворачивания внутрь; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: счастливый ребенок -> радость, блаженство + ребенок + часть названия требует ручной сверки",Восстановление и таз
AS102,Makarasana,Макарасана,крокодил,Ма-ка-ра | А-са-на,"makara = мифическое водное существо; крокодил; asana = сиденье, поза","мифическое водное существо; крокодил + сиденье, поза","образ устойчивого расслабления на животе; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: крокодил -> мифическое водное существо; крокодил + часть названия требует ручной сверки,Восстановление
AS103,Savasana,Шавасана,шавасана,Ша-ва | А-са-на,"shava = тело, труп; asana = сиденье, поза",поза тела/полного покоя,"название указывает на полное отпускание усилия, как неподвижное тело",Свяжите образ: шавасана -> поза тела/полного покоя,Завершение
AS104,Yoga Nidrasana,Йога Нидрасана,йогический сон,Йо-га | Нид-ра | А-са-на,"yoga = соединение, практика йоги; nidra = сон; asana = сиденье, поза",йога + сон + поза,образ глубокого внутреннего сна и закрытой формы,Свяжите образ: йогический сон -> йога + сон + поза,Глубокие закрытые формы
AS105,Mandukasana,Мандукасана,лягушка,Ман-ду-ка | А-са-на,"manduka = лягушка; asana = сиденье, поза","лягушка + сиденье, поза","образ лягушки в раскрытии бедер; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: лягушка -> лягушка + часть названия требует ручной сверки,Таз и колени
AS106,Bhekasana,Бхекасана,поза лягушки на животе,Бхе-ка | А-са-на,"bheka = лягушка; asana = сиденье, поза","лягушка + сиденье, поза","другое слово для лягушки; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: поза лягушки на животе -> лягушка + часть названия требует ручной сверки,Прогибы и бедра
AS107,Simhasana,Симхасана,лев,Сим-ха | А-са-на,"simha = лев; asana = сиденье, поза","лев + сиденье, поза","образ львиного выдоха и выражения лица; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: лев -> лев + часть названия требует ручной сверки,Лицо и дыхание
AS108,Tolasana,Толасана,весы,То-ла | А-са-на,"tola = весы, равновесие; asana = сиденье, поза","весы, равновесие + сиденье, поза","образ взвешивания и подъема тела; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: весы -> весы, равновесие + часть названия требует ручной сверки",Сила и центр
